"Indicators","Recuperar.especies.de.interés.comercial","Conservar.especies.en.régimen.de.protección.especial","Mejorar.la.productividad.pesquera.en.aguas.adyacentes","Evitar.que.se.llegue.a.la.sobreexplotación","Recuperar.especies.sobreexplotadas","Contribuir.al.mantenimiento.de.los.procesos.biológicos","Preservar.la.diversidad.biológica.y.los.ecosistemas"
"Arribos",1,1,1,1,0,0,0
"Arribos de especies objetivo",1,0,1,1,1,0,0
"Ingresos por arribos",1,1,1,1,0,0,0
"Ingresos por arribos de especies objetivo",1,0,1,1,1,0,0
"Trabajos alternativos a pesca",1,1,1,1,1,1,1
